,0,1,2,3
446,45.7466849,30.7840972,39.4443634,4.0126666
447,34.6807287,34.9868117,46.4125295,3.6797914
448,20.0512865,34.158262,48.8488449,3.328204
449,6.1459549,27.7932561,45.7923962,3.0138844
450,-3.8176412,18.8336098,39.6242043,2.7791553
451,-9.6795449,10.4945476,33.1895086,2.6328688
452,-12.7697126,4.1817086,27.8308462,2.560319
453,-14.3380556,-0.074729,23.7261728,2.540354
454,-15.1676409,-2.7354651,20.6367658,2.5545425
455,-15.6836553,-4.2946794,18.2809694,2.5894512
456,-16.1050368,-5.1415886,16.4403429,2.6361114
457,-16.5419941,-5.5496348,14.9660844,2.6888564
458,-17.0488491,-5.7006112,13.7616864,2.7442722
459,-17.6514041,-5.711641,12.7655291,2.8004189
460,-18.3610544,-5.6566957,11.9382992,2.8562964
461,-19.182088,-5.5819617,11.2548662,2.9114944
462,-20.1154254,-5.5162939,10.6993216,2.9659709
463,-21.160451,-5.4781672,10.2620728,3.0199156
464,-22.3157844,-5.4802698,9.938242,3.0736707
465,-23.579424,-5.5325706,9.7269047,3.1276899
466,-24.9484682,-5.6444431,9.6309014,3.1825218
467,-26.4184802,-5.8262472,9.6570786,3.2388126
468,-27.9824632,-6.0906463,9.8168967,3.2973224
469,-29.6293221,-6.4538444,10.1273818,3.3589547
470,-31.3415823,-6.9368467,10.6124033,3.4247981
471,-33.0920006,-7.5667356,11.3042031,3.4961803
472,-34.8385283,-8.3777504,12.2449248,3.5747353
473,-36.5169061,-9.4115405,13.4874741,3.6624766
474,-38.0301188,-10.7151318,15.094158,3.7618649
475,-39.2344747,-12.3336211,17.129888,3.8758307
476,-39.924296,-14.292313,19.6441243,4.0076784
477,-39.8232787,-16.561026,22.6332031,4.1607267
478,-38.6026866,-18.9964941,25.9771288,4.3374826
479,-35.9603427,-21.2783816,29.3641273,4.5381767
480,-31.7838816,-22.8988381,32.262377,4.7588565
481,-26.34181,-23.2985454,34.0374851,4.9900423
482,-20.3244826,-22.1565108,34.237338,5.2175963
483,-14.5957826,-19.6268134,32.8521073,5.426461
484,-9.808956,-16.2728503,30.2963047,5.6053561
485,-6.2064966,-12.7544973,27.1419694,5.7493922
486,-3.6948325,-9.5565939,23.8650679,5.8595498
487,-2.0289512,-6.9118903,20.7548429,5.9403915
488,-0.9524808,-4.859669,17.9431895,5.9977692
489,-0.2589454,-3.3351373,15.4661387,6.0373391
490,0.1979768,-2.2364592,13.3124822,6.0638817
491,0.5147838,-1.4616042,11.4521399,6.0811371
492,0.7524611,-0.9237621,9.8500953,6.0918943
493,0.9485981,-0.5550373,8.472379,6.0981684
494,1.1260737,-0.3049079,7.2882421,6.1013845
495,1.2987958,-0.1369517,6.2706732,6.1025361
496,1.4753224,-0.0254553,5.3962603,6.1023086
497,1.6610823,0.0474791,4.644832,6.1011714
498,1.8597138,0.094191,3.999053,6.0994447
499,2.0738618,0.1231333,3.4440399,6.0973456
500,2.3056498,0.1400732,2.9670173,6.0950211
501,2.5569598,0.1489369,2.5570193,6.0925703
502,2.8295988,0.1523948,2.2046305,6.0900598
503,3.125399,0.1522642,1.901766,6.087534
504,3.446281,0.149783,1.6414809,6.085022
505,3.7942949,0.145797,1.4178091,6.082543
506,4.1716497,0.1408853,1.2256241,6.0801089
507,4.5807367,0.1354463,1.0605204,6.0777269
508,5.0241489,0.129755,0.9187116,6.0754007
509,5.5047009,0.1240024,0.7969438,6.0731318
510,6.025447,0.1183219,0.6924201,6.0709202
511,6.5897021,0.1128075,0.6027376,6.0687647
512,7.2010622,0.1075261,0.5258317,6.0666631
513,7.8634272,0.102526,0.4599296,6.0646131
514,8.5810263,0.0978432,0.40351,6.0626115
515,9.3584438,0.0935057,0.3552686,6.060655
516,10.200649,0.0895368,0.314089,6.05874
517,11.1130273,0.0859575,0.2790173,6.0568628
518,12.1014143,0.0827889,0.2492415,6.0550194
