index,value
1069,1.6516
1070,1.6486
1071,1.7884
1072,1.177
1073,0.80034
1074,0.71837
1075,0.74971
1076,0.65017
1077,0.90331
1078,1.5705
1079,1.9223
1080,2.051
1081,2.0806
1082,2.0854
1083,1.5799
1084,0.95232
1085,0.62366
1086,0.47725
1087,0.42299
1088,0.50891
1089,1.1304
1090,1.7313
1091,1.7889
1092,1.6606
1093,1.6181
1094,1.8272
1095,1.2511
1096,0.83025
1097,0.72232
1098,0.75613
1099,0.66458
1100,0.83402
1101,1.4973
1102,1.8935
1103,2.0403
1104,2.087
1105,2.0927
1106,1.6763
1107,1.0149
1108,0.65214
1109,0.48782
1110,0.42525
1111,0.4735
1112,1.0254
1113,1.6883
1114,1.8003
1115,1.6741
1116,1.5977
1117,1.8413
1118,1.3305
1119,0.8631
1120,0.71794
1121,0.74706
1122,0.67988
1123,0.77432
1124,1.4173
1125,1.8616
1126,2.0262
1127,2.083
1128,2.0864
1129,1.7686
1130,1.0817
1131,0.68563
1132,0.50355
1133,0.43321
1134,0.45057
1135,0.92552
1136,1.6362
1137,1.8102
1138,1.6977
1139,1.598
1140,1.8356
1141,1.4139
1142,0.90156
1143,0.71737
1144,0.66031
1145,0.64024
1146,0.70474
1147,1.3243
1148,1.8243
1149,1.9932
1150,2.0391
1151,2.04
1152,1.8514
1153,1.1557
1154,0.72306
1155,0.52834
1156,0.45869
1157,0.44784
1158,0.83483
1159,1.5731
1160,1.8499
1161,1.7737
1162,1.6552
1163,1.837
1164,1.5085
1165,0.94227
1166,0.70098
1167,0.68176
1168,0.66426
1169,0.66167
1170,1.228
1171,1.7812
1172,1.9762
1173,2.0518
1174,2.0409
1175,1.9343
1176,1.2377
1177,0.76766
1178,0.5462
1179,0.46059
1180,0.43543
1181,0.74255
1182,1.4927
1183,1.8154
1184,1.7575
1185,1.6451
1186,1.7859
1187,1.597
1188,1.0019
1189,0.73836
1190,0.70639
1191,0.69884
1192,0.64544
1193,1.1335
1194,1.7332
1195,1.974
1196,2.0635
1197,2.059
1198,2.0021
1199,1.3279
1200,0.81085
1201,0.5604
1202,0.45539
1203,0.4229
1204,0.65847
1205,1.401
1206,1.8014
1207,1.7568
1208,1.6302
1209,1.72
1210,1.6778
1211,1.0628
1212,0.76072
1213,0.719
1214,0.73373
1215,0.64549
1216,1.0445
1217,1.6789
1218,1.9603
1219,2.0641
1220,2.0785
1221,2.0515
1222,1.4197
1223,0.85832
1224,0.58078
1225,0.46059
1226,0.41811
1227,0.5908
1228,1.304
1229,1.7806
1230,1.7663
1231,1.6341
1232,1.668
1233,1.747
1234,1.1283
1235,0.78173
1236,0.72078
1237,0.75172
1238,0.65001
1239,0.96059
1240,1.6176
1241,1.9373
1242,2.057
1243,2.0804
1244,2.0775
1245,1.513
1246,0.91262
1247,0.6
1248,0.4671
1249,0.41905
1250,0.53831
1251,1.2026
1252,1.7521
1253,1.7736
1254,1.6432
1255,1.6316
1256,1.8002
1257,1.1987
1258,0.81265
1259,0.72696
1260,0.7615
1261,0.65975
1262,0.88436
1263,1.5486
1264,1.9135
1265,2.0484
1266,2.0873
1267,2.0925
1268,1.6095
1269,0.97121
1270,0.63245
1271,0.48045
1272,0.42219
1273,0.49623
1274,1.0976
1275,1.7192
1276,1.7946
1277,1.6644
1278,1.6087
1279,1.8334
1280,1.275
1281,0.83891
1282,0.72153
1283,0.75722
1284,0.67115
1285,0.81543
1286,1.4742
1287,1.8841
1288,2.0367
1289,2.0857
1290,2.0055
1291,1.6053
1292,1.0047
1293,0.65184
1294,0.48932
1295,0.43497
1296,0.53507
1297,1.0735
1298,1.7079
1299,1.8101
1300,1.6842
1301,1.6794
1302,1.8777
1303,1.3132
1304,0.84931
1305,0.71089
1306,0.71877
1307,0.62517
1308,0.7615
1309,1.43
1310,1.8732
1311,2.0342
1312,2.0633
1313,2.0561
1314,1.7495
1315,1.0679
1316,0.67231
1317,0.49937
1318,0.44365
1319,0.4627
1320,0.94762
1321,1.6482
1322,1.8022
1323,1.7049
1324,1.6229
1325,1.8518
1326,1.3997
1327,0.89657
1328,0.71642
1329,0.72857
1330,0.67368
